person,school_type,ps_sum
"[""person341""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person342""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person343""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person344""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person345""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person346""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person347""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person348""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person349""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person350""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person351""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person352""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person353"", ""person353""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.654, 0.346]"
"[""person354""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person355""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person356""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person357""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person358""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person359""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person360""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person361""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person362""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person363""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person364""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person365""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person366"", ""person366""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.482, 0.518]"
"[""person367""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person368""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person369""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person370""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person371""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person372""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person373""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person374""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person375""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person376"", ""person376""]","Union{Missing, String}[""type 1"", ""type 2""]","[0.844, 0.156]"
"[""person377"", ""person377""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.91, 0.09]"
"[""person378""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person379""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person380""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person381""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person382""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person383""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person384""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person385""]","Union{Missing, String}[""type 1""]",[1.0]
"[""person386"", ""person386""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.218, 0.782]"
"[""person387""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person388"", ""person388""]","Union{Missing, String}[""type 2"", ""type 1""]","[0.196, 0.804]"
"[""person389""]","Union{Missing, String}[""type 2""]",[1.0]
"[""person390""]","Union{Missing, String}[""type 2""]",[1.0]
